username,count,discord_id,mention
Anv1l__,5,754613268697579632,<@754613268697579632>
Persimmon_1999,5,502843564875579393,<@502843564875579393>
Qaqa1103,5,601713371917844490,<@601713371917844490>
aprnald1002,5,812337144012996619,<@812337144012996619>
.TurnedIce3144,4,,
Barbarus041,4,682453409441644590,<@682453409441644590>
Dongjjim,4,400652870451724289,<@400652870451724289>
K_Choki,4,614423306623516713,<@614423306623516713>
Kong_G_0623,4,1475103282497327105,<@1475103282497327105>
POYEE_,4,993525537303707669,<@993525537303707669>
RealMercen,4,340367212059557899,<@340367212059557899>
TM_tomato,4,877127359290019870,<@877127359290019870>
it_s1,4,1038370552601120788,<@1038370552601120788>
mouseteeth3,4,368903518280482827,<@368903518280482827>
jmsoup,3,387826889462513664,<@387826889462513664>
junho6792,3,852117815199531049,<@852117815199531049>
sig0751,3,,
woo_ng,3,262174212582670340,<@262174212582670340>
.Eve001205,2,,
.SinewyIvy121561,2,,
Dudu04,2,358870170426408980,<@358870170426408980>
Star_Rigel,2,,
daegeonC,2,302990422404235285,<@302990422404235285>
doranstone,2,,
jommanbot,2,,
vwv38,2,877035656419876894,<@877035656419876894>
.Yunmandu30,1,,
.nineteenn99,1,,
.yooseori,1,,
2Hayeon,1,1426203711276847305,<@1426203711276847305>
Com_mander,1,566940683588468747,<@566940683588468747>
JeulgamuserXP,1,535302162603966474,<@535302162603966474>
Minseoland,1,380623595145003008,<@380623595145003008>
POKET_MARK,1,1048258253613695017,<@1048258253613695017>
S2xong,1,1000383713202417755,<@1000383713202417755>
SEXY___YAMA,1,,
_Y00SUNG,1,1461293941717733427,<@1461293941717733427>
_chapchu_,1,,
iamlynx77,1,618462216446017566,<@618462216446017566>
lackey_0420,1,,
luti2010,1,,
