username,count
Anv1l__,5
Persimmon_1999,5
Qaqa1103,5
aprnald1002,5
.TurnedIce3144,4
Barbarus041,4
Dongjjim,4
K_Choki,4
Kong_G_0623,4
POYEE_,4
RealMercen,4
TM_tomato,4
it_s1,4
mouseteeth3,4
jmsoup,3
junho6792,3
sig0751,3
woo_ng,3
.Eve001205,2
.SinewyIvy121561,2
Dudu04,2
Star_Rigel,2
daegeonC,2
doranstone,2
jommanbot,2
vwv38,2
.Yunmandu30,1
.nineteenn99,1
.yooseori,1
2Hayeon,1
Com_mander,1
JeulgamuserXP,1
Minseoland,1
POKET_MARK,1
S2xong,1
SEXY___YAMA,1
_Y00SUNG,1
_chapchu_,1
iamlynx77,1
lackey_0420,1
luti2010,1
